seed,player,num_rounds,risk,wealth,total_rent_paid,properties_owned,passed_go_count,neighborhood_completeness,loser
333,Player 1,23,0,-4.0,16,8,2,0.0,1
333,Player 2,23,1,430.98,18,7,4,0.0,1
334,Player 1,11,0,-100.0,0,6,1,0.0,1
334,Player 2,11,1,140.45,0,4,1,0.0,1
335,Player 1,62,0,-20.0,99,10,9,1.0,1
335,Player 2,62,1,112.33,189,10,11,1.0,1
336,Player 1,20,0,130.75,59,7,3,0.0,2
336,Player 2,20,1,-15.78,78,8,3,1.0,2
337,Player 1,24,0,191.78,16,8,4,0.0,2
337,Player 2,24,1,-8.0,79,7,4,1.0,2
338,Player 1,21,0,48.0,16,5,1,0.0,2
338,Player 2,21,1,-16.65,112,6,3,0.0,2
339,Player 1,9,0,-25.0,31,5,1,0.0,1
339,Player 2,9,1,25.0,0,6,1,0.0,1
340,Player 1,14,0,-42.56,4,6,0,0.0,1
340,Player 2,14,1,15.33,28,7,2,2.0,1
341,Player 1,18,0,-96.0,92,6,2,0.0,1
341,Player 2,18,1,107.23,44,7,3,0.0,1
342,Player 1,25,0,218.0,18,7,4,0.0,2
342,Player 2,25,1,-0.86,20,7,3,1.0,2
343,Player 1,17,0,-100.0,14,6,1,0.0,1
343,Player 2,17,1,187.81,14,5,2,1.0,1
344,Player 1,24,0,-6.0,50,8,2,1.0,1
344,Player 2,24,1,12.63,4,7,3,0.0,1
345,Player 1,50,0,-8.0,52,11,8,1.0,1
345,Player 2,50,1,180.21,204,10,7,1.0,1
346,Player 1,27,0,-28.0,28,8,4,1.0,1
346,Player 2,27,1,95.76,22,5,2,0.0,1
347,Player 1,48,0,254.56,114,7,7,0.0,2
347,Player 2,48,1,-37.54,76,12,7,1.0,2
348,Player 1,24,0,-19.39,50,8,3,0.0,1
